Date,Time,Otters,hSeals,eSeals
9/7/03,720,0,10,0
9/8/03,720,1,1,0
9/9/03,720,0,1,0
9/10/03,815,0,0,0
9/11/03,735,0,0,0
9/12/03,745,0,0,0
9/13/03,715,0,0,0
9/14/03,715,0,3,0
9/15/03,730,1,4,0
9/16/03,740,1,0,0
9/17/03,730,0,10,0
9/18/03,640,2,0,0
9/19/03,720,1,3,0
9/20/03,710,2,1,0
9/21/03,730,0,0,0
9/22/03,705,0,9,0
9/23/03,720,1,9,0
9/24/03,720,3,2,0
9/25/03,720,3,8,0
9/26/03,740,2,7,0
9/27/03,800,3,0,0
9/28/03,745,2,0,0
9/29/03,740,2,1,0
9/30/03,740,1,2,0
10/1/03,700,1,6,0
10/2/03,715,1,1,0
10/3/03,815,1,0,0
10/4/03,710,1,13,0
10/5/03,720,0,10,0
10/6/03,820,1,0,0
10/7/03,730,0,21,0
10/8/03,800,0,33,0
10/9/03,710,0,72,0
10/10/03,735,0,80,0
10/12/03,745,1,33,0
10/13/03,740,0,68,0
10/14/03,720,0,101,0
11/16/03,710,2,105,0
11/17/03,715,0,5,0
11/18/03,710,0,68,0
11/19/03,800,0,60,0
11/20/03,840,0,65,0
11/21/03,710,0,61,0
11/22/03,845,0,2,0
11/23/03,715,0,34,0
11/24/03,700,0,3,0
11/25/03,800,0,31,0
11/26/03,750,0,100,0
11/27/03,800,4,66,0
11/28/03,750,4,47,0
11/29/03,700,0,9,0
11/30/03,800,4,73,0
12/1/03,810,1,79,0
12/2/03,845,1,97,0
12/4/03,750,0,41,0
12/5/03,850,2,0,0
12/6/03,745,3,109,0
12/8/03,,0,63,0
12/9/03,,2,110,0
12/10/03,745,0,9,0
12/11/03,1100,0,121,0
12/12/03,815,0,114,0
12/13/03,,2,66,0
12/14/03,,2,20,0
12/15/03,900,0,97,0
12/16/03,700,2,11,0
12/17/03,,0,82,0
12/18/03,830,0,75,0
12/19/03,915,1,2,0
12/20/03,830,0,88,0
12/21/03,840,1,60,0
12/22/03,830,0,41,0
12/23/03,840,2,32,0
